codi_conc_tco;codi_oper_ope;codi_cicl_cic;desc_conc_tco;desc_cort_tco;tipo_conc_tco;tipo_calc_tco;secu_calc_tco;flag_asoc_tco;flag_recu_tco;rnta_qnta_tco;cts_cts_tco;codi_conc_onc;codi_enti_ent;cnta_debe_tco;cnta_habe_tco;clas_conc_tco;flag_pago_tco;codi_cova_tco;codi_rtps_tco;tipo_conc_pla;codi_conc_pla;desc_conc_pla;codi_plame
0401;;G;GRATIFICACIONES DE FIESTAS PATRIAS Y NAVIDAD;GRATIFICACIONES DE FIESTA;1;1;1;0;0;2;0;0;;;;1;1;;401;1;;;401
0402;;G;OTRAS GRATIFICACIONES ORDINARIAS;OTRAS GRATIFICACIONES ORD;1;1;1;0;0;2;0;0;;;;1;1;;402;1;;;402
0403;;G;GRATIFICACIONES EXTRAORDINARIAS;GRATIFICACIONES EXTRAORDI;1;1;1;0;0;2;0;0;;;;1;1;;403;1;;;403
0404;;G;AGUINALDOS DE JULIO Y DICIEMBRE;AGUINALDOS DE JULIO Y DIC;1;1;1;0;0;2;0;0;;;;1;1;;404;1;;;404
0405;;G;GRATIFICACIONES PROPORCIONAL;GRATIFICACIONES PROPORCIO;1;1;1;0;0;2;0;0;;;;1;1;;405;1;;;405
0406;;G;GRATIFICACIONES DE FIESTAS PATRIAS Y NAVIDAD  LEY 29351;GRATIFICACIONES DE FIESTA;1;1;1;0;0;2;0;0;;;;1;1;;406;1;;;406
0407;;G;GRATIFICACIONES PROPORCIONAL  LEY 29351;GRATIFICACIONES PROPORCIO;1;1;1;0;0;2;0;0;;;;1;1;;407;1;;;407
0408;;G;GRATIFIC FIESTAS PATRIAS Y NAVIDAD TRABAJ PESQ LEY 30334;GRATIFIC FIESTAS PATRIAS ;1;1;1;0;0;2;0;0;;;;1;1;;408;1;;;408
0409;;G;GRATIFICACIONES PROPORCIONAL/TRUNCA TRABAJ PESQUEROS LEY 30334;GRATIFICACIONES PROPORCIO;1;1;1;0;0;2;0;0;;;;1;1;;409;1;;;409
0410;;G;GRATIF FORMA PARTE REMUNER EXCEDE VALOR DE MERCADO (DIVIDENDO);GRATIF FORMA PARTE REMUNE;1;1;1;0;0;2;0;0;;;;1;1;;410;1;;;410
0411;;G;GRAT INT SALUD DU090-2020 Y O NO GRAV;GRAT INT SALUD DU090-2020;1;1;1;0;0;2;0;0;;;;1;1;;411;1;;;411
0501;;G;INDEMNIZACIÓN POR DESPIDO INJUSTIFICADO U HOSTILIDAD;INDEMNIZACIÓN POR DESPIDO;1;1;1;0;0;2;0;0;;;;1;1;;501;1;;;501
0502;;G;INDEMNIZACIÓN POR MUERTE O INCAPACIDAD;INDEMNIZACIÓN POR MUERTE ;1;1;1;0;0;2;0;0;;;;1;1;;502;1;;;502
0503;;G;INDEMNIZACIÓN POR RESOLUCIÓN DE CONTRATO SUJETO A MODALIDAD;INDEMNIZACIÓN POR RESOLUC;1;1;1;0;0;2;0;0;;;;1;1;;503;1;;;503
0504;;G;INDEMNIZACIÓN POR VACACIONES NO GOZADAS;INDEMNIZACIÓN POR VACACIO;1;1;1;0;0;2;0;0;;;;1;1;;504;1;;;504
0505;;G;INDEMNIZACIÓN POR RETENCIÓN INDEBIDA DE CTS ART. 52 D.S Nº 001-97-TR;INDEMNIZACIÓN POR RETENCI;1;1;1;0;0;2;0;0;;;;1;1;;505;1;;;505
0506;;G;INDEMNIZACIÓN POR NO REINCORPORAR A UN TRABAJADOR CESADO EN UN PROCEDIMIENTO DE CESE COLECTIVO - DS 001-96-TR;INDEMNIZACIÓN POR NO REIN;1;1;1;0;0;2;0;0;;;;1;1;;506;1;;;506
0507;;G;INDEMNIZACIÓN POR REALIZAR HORAS EXTRAS IMPUESTAS POR EL EMPLEADOR;INDEMNIZACIÓN POR REALIZA;1;1;1;0;0;2;0;0;;;;1;1;;507;1;;;507
0601;;G;SISTEMA PRIVADO DE PENSIONES - COMISIÓN PORCENTUAL;SISTEMA PRIVADO DE PENSIO;3;1;1;0;0;2;0;0;;;;1;1;;601;1;;;601
0602;;G;CONAFOVICER;CONAFOVICER;1;1;1;0;0;2;0;0;;;;1;1;;602;1;;;602
0605;;G;RENTA QUINTA CATEGORÍA RETENCIONES;RENTA QUINTA CATEGORÍA RE;3;1;1;0;0;2;0;0;;;;1;1;;605;1;;;605
0606;;G;SISTEMA PRIVADO DE PENSIONES - PRIMA DE SEGURO;SISTEMA PRIVADO DE PENSIO;3;1;1;0;0;2;0;0;;;;1;1;;606;1;;;606
0608;;G;SISTEMA PRIVADO DE PENSIONES - APORTACIÓN OBLIGATORIA;SISTEMA PRIVADO DE PENSIO;3;1;1;0;0;2;0;0;;;;1;1;;608;1;;;608
0609;;G;SISTEMA PRIVADO DE PENSIONES - APORTACIÓN VOLUNTARIA;SISTEMA PRIVADO DE PENSIO;1;1;1;0;0;2;0;0;;;;1;1;;609;1;;;609
0611;;G;OTROS APORTACIONES DEL TRABAJADOR / PENSIONISTA;OTROS APORTACIONES DEL TR;1;1;1;0;0;2;0;0;;;;1;1;;611;1;;;611
0613;;G;RÉGIMEN PENSIONARIO - D.L. 20530;RÉGIMEN PENSIONARIO - D.L;1;1;1;0;0;2;0;0;;;;1;1;;613;1;;;613
0614;;G;RÉGIMEN PENSIONARIO DEL SERV. DIPLOMÁTICO;RÉGIMEN PENSIONARIO DEL S;1;1;1;0;0;2;0;0;;;;1;1;;614;1;;;614
0615;;G;RÉGIMEN DE PENSIONES MILITAR-POLICIAL;RÉGIMEN DE PENSIONES MILI;1;1;1;0;0;2;0;0;;;;1;1;;615;1;;;615
0617;;G;Cuota al Fondo CJMMS – Ley 29741;Cuota al Fondo CJMMS – Le;1;1;1;0;0;2;0;0;;;;1;1;;617;1;;;617
0618;;G;Renta Cuarta Categoria Retenciones -CAS;Renta Cuarta Categoria Re;1;1;1;0;0;2;0;0;;;;1;1;;618;1;;;618
0621;;G;OTRAS RENTAS DE QUINTA CATEGORÍA POR EJERCICIO ANTERIOR;OTRAS RENTAS DE QUINTA CA;1;1;1;0;0;2;0;0;;;;1;1;;621;1;;;621
0701;;G;ADELANTO;ADELANTO;2;1;1;0;0;2;0;0;;;;1;1;;701;1;;;701
0702;;G;CUOTA SINDICAL;CUOTA SINDICAL;2;1;1;0;0;2;0;0;;;;1;1;;702;1;;;702
0703;;G;DESCUENTO AUTORIZADO U ORDENADO POR MANDATO JUDICIAL;DESCUENTO AUTORIZADO U OR;1;1;1;0;0;2;0;0;;;;1;1;;703;1;;;703
0704;;G;TARDANZAS;TARDANZAS;2;1;1;0;0;2;0;0;;;;1;1;;704;1;;;704
0705;;G;INASISTENCIAS;INASISTENCIAS;2;1;1;0;0;2;0;0;;;;1;1;;705;1;;;705
0706;;G;OTROS DESCUENTOS NO DEDUCIBLES DE LA BASE IMPONIBLE;OTROS DESCUENTOS NO DEDUC;2;1;1;0;0;2;0;0;;;;1;1;;706;1;;;706
0707;;G;OTROS DESCUENTOS DEDUCIBLES DE LA BASE IMPONIBLE;OTROS DESCUENTOS DEDUCIBL;2;1;1;0;0;2;0;0;;;;1;1;;707;1;;;707
0801;;G;SISTEMA PRIVADO DE PENSIONES - APORTACIÓN VOLUNTARIA;SISTEMA PRIVADO DE PENSIO;1;1;1;0;0;2;0;0;;;;1;1;;801;1;;;801
0803;;G;PÓLIZA DE SEGURO - D. LEG. 688;PÓLIZA DE SEGURO - D. LEG;1;1;1;0;0;2;0;0;;;;1;1;;803;1;;;803
0805;;G;PENSIONES  SEGURO COMPLEMENTARIO DE TRABAJO DE RIESGO;PENSIONES  SEGURO COMPLEM;1;1;1;0;0;2;0;0;;;;1;1;;805;1;;;805
0807;;G;SENATI;SENATI;1;1;1;0;0;2;0;0;;;;1;1;;807;1;;;807
0809;;G;OTRAS APORTACIONES DE CARGO DEL EMPLEADOR;OTRAS APORTACIONES DE CAR;1;1;1;0;0;2;0;0;;;;1;1;;809;1;;;809
0810;;G;EPS - SEGURO COMPLEMENTARIO DE TRABAJO DE RIESGO;EPS - SEGURO COMPLEMENTAR;1;1;1;0;0;2;0;0;;;;1;1;;810;1;;;810
0811;;G;SEGURO INTEGRAL DE SALUD - SIS;SEGURO INTEGRAL DE SALUD ;1;1;1;0;0;2;0;0;;;;1;1;;811;1;;;811
0813;;G;ONP - SEGURO COMPLEMENTARIO DE TRABAJO DE RIESGO;ONP - SEGURO COMPLEMENTAR;1;1;1;0;0;2;0;0;;;;1;1;;813;1;;;813
0814;;G;ONP - SCOMPAÑÍA SEGURO- SEGURO COMPLEMENTARIO DE TRABAJO DE RIESGO;ONP - SCOMPAÑÍA SEGURO- S;1;1;1;0;0;2;0;0;;;;1;1;;814;1;;;814
0901;;G;BIENES DE LA PROPIA EMPRESA OTORGADOS PARA EL CONSUMO DEL TRABAJADOR;BIENES DE LA PROPIA EMPRE;1;1;1;0;0;2;0;0;;;;1;1;;901;1;;;901
0902;;G;BONO DE PRODUCTIVIDAD;BONO DE PRODUCTIVIDAD;1;1;1;0;0;2;0;0;;;;1;1;;902;1;;;902
0903;;G;CANASTA DE NAVIDAD O SIMILARES;CANASTA DE NAVIDAD O SIMI;1;1;1;0;0;2;0;0;;;;1;1;;903;1;;;903
0904;;G;COMPENSACIÓN POR TIEMPO DE SERVICIOS;COMPENSACIÓN POR TIEMPO D;1;1;1;0;0;2;0;0;;;;1;1;;904;1;;;904
0905;;G;GASTOS DE REPRESENTACIÓN (MOVILIDAD;GASTOS DE REPRESENTACIÓN ;1;1;1;0;0;2;0;0;;;;1;1;;905;1;;;905
0906;;G;INCENTIVO POR CESE DEL TRABAJADOR (4);INCENTIVO POR CESE DEL TR;1;1;1;0;0;2;0;0;;;;1;1;;906;1;;;906
0907;;G;LICENCIA CON GOCE DE HABER;LICENCIA CON GOCE DE HABE;1;1;1;0;0;2;0;0;;;;1;1;;907;1;;;907
0908;;G;MOVILIDAD DE LIBRE DISPOSICIÓN;MOVILIDAD DE LIBRE DISPOS;1;1;1;0;0;2;0;0;;;;1;1;;908;1;;;908
0909;;G;MOVILIDAD SUPEDITADA A ASISTENCIA Y QUE CUBRE SÓLO EL TRASLADO;MOVILIDAD SUPEDITADA A AS;1;1;1;0;0;2;0;0;;;;1;1;;909;1;;;909
0910;;G;PARTICIPACIÓN EN LAS UTILIDADES - PAGADAS ANTES DE LA DECLARACIÓN ANUAL DEL IMPUESTO A LA RENTA;PARTICIPACIÓN EN LAS UTIL;1;1;1;0;0;2;0;0;;;;1;1;;910;1;;;910
0911;;G;PARTICIPACIÓN EN LAS UTILIDADES - PAGADAS DESPUES DE LA DECLARACIÓN ANUAL DEL IMPUESTO A LA RENTA;PARTICIPACIÓN EN LAS UTIL;1;1;1;0;0;2;0;0;;;;1;1;;911;1;;;911
0913;;G;RECARGO AL CONSUMO;RECARGO AL CONSUMO;1;1;1;0;0;2;0;0;;;;1;1;;913;1;;;913
0914;;G;REFRIGERIO QUE NO ES ALIMENTACIÓN PRINCIPAL;REFRIGERIO QUE NO ES ALIM;1;1;1;0;0;2;0;0;;;;1;1;;914;1;;;914
0915;;G;SUBSIDIOS POR MATERNIDAD;SUBSIDIOS POR MATERNIDAD;1;1;1;0;0;2;0;0;;;;1;1;;915;1;;;915
0916;;G;SUBSIDIOS DE  INCAPACIDAD POR ENFERMEDAD;SUBSIDIOS DE  INCAPACIDAD;1;1;1;0;0;2;0;0;;;;1;1;;916;1;;;916
0917;;G;CONDICIONES DE TRABAJO;CONDICIONES DE TRABAJO;1;1;1;0;0;2;0;0;;;;1;1;;917;1;;;917
0918;;G;IMPUESTO A LA RENTA DE QUINTA CATEGORÍA ASUMIDO;IMPUESTO A LA RENTA DE QU;1;1;1;0;0;2;0;0;;;;1;1;;918;1;;;918
0919;;G;SISTEMA NACIONAL DE PENSIONES ASUMIDO;SISTEMA NACIONAL DE PENSI;1;1;1;0;0;2;0;0;;;;1;1;;919;1;;;919
0920;;G;SISTEMA PRIVADO DE PENSIONES ASUMIDO;SISTEMA PRIVADO DE PENSIO;1;1;1;0;0;2;0;0;;;;1;1;;920;1;;;920
0922;;G;SUMAS O BIENES QUE NO SON DE LIBRE DISPOSICIÓN;SUMAS O BIENES QUE NO SON;1;1;1;0;0;2;0;0;;;;1;1;;922;1;;;922
0923;;G;INGRESOS DE CUARTA CATEGORIA QUE SON CONSIDERADOS DE QUNTA CATEGORIA;INGRESOS DE CUARTA CATEGO;1;1;1;0;0;2;0;0;;;;1;1;;923;1;;;923
0924;;G;INGRESOS CUARTA-QUINTA SIN RELACIÓN DE DEPENDENCIA ;INGRESOS CUARTA-QUINTA SI;1;1;1;0;0;2;0;0;;;;1;1;;924;1;;;924
0925;;G;INGRESO PESCADOR-PROCESADOR ARTES. IND.-BC AP. ESSALUD-LEY 27177;INGRESO PESCADOR-PROCESAD;1;1;1;0;0;2;0;0;;;;1;1;;925;1;;;925
0927;;G;BONIFICACION PRIMA TEXTIL;BONIFICACION PRIMA TEXTIL;1;1;1;0;0;2;0;0;;;;1;1;;927;1;;;927
0928;;G;Devol retenc exc.Imp Rta 5ta Cat Cese o Fin Vinc;Devol retenc exc.Imp Rta ;1;1;1;0;0;2;0;0;;;;1;1;;928;1;;;928
0929;;G;OTRAS ASIGN, BONIF QUE FORMAN PARTE REMUNER Y EXCED VALOR DE MERCADO (DIVIDENDOS);OTRAS ASIGN, BONIF QUE FO;1;1;1;0;0;2;0;0;;;;1;1;;929;1;;;929
0930;;G;REMUNERACIÓN QUE EXCEDE VALOR MERCADO DE PERÍODOS ANTERIORES;REMUNERACIÓN QUE EXCEDE V;1;1;1;0;0;2;0;0;;;;1;1;;930;1;;;930
1001;;G;OTROS CONCEPTOS 1;OTROS CONCEPTOS 1;1;1;1;0;0;2;0;0;;;;1;1;;1001;1;;;1001
1002;;G;OTROS CONCEPTOS 2;OTROS CONCEPTOS 2;1;1;1;0;0;2;0;0;;;;1;1;;1002;1;;;1002
1003;;G;OTROS CONCEPTOS 3;OTROS CONCEPTOS 3;1;1;1;0;0;2;0;0;;;;1;1;;1003;1;;;1003
1004;;G;OTROS CONCEPTOS 4;OTROS CONCEPTOS 4;1;1;1;0;0;2;0;0;;;;1;1;;1004;1;;;1004
1005;;G;OTROS CONCEPTOS 5;OTROS CONCEPTOS 5;1;1;1;0;0;2;0;0;;;;1;1;;1005;1;;;1005
1006;;G;OTROS CONCEPTOS 6;OTROS CONCEPTOS 6;1;1;1;0;0;2;0;0;;;;1;1;;1006;1;;;1006
1007;;G;OTROS CONCEPTOS 7;OTROS CONCEPTOS 7;1;1;1;0;0;2;0;0;;;;1;1;;1007;1;;;1007
1008;;G;OTROS CONCEPTOS 8;OTROS CONCEPTOS 8;1;1;1;0;0;2;0;0;;;;1;1;;1008;1;;;1008
1009;;G;OTROS CONCEPTOS 9;OTROS CONCEPTOS 9;1;1;1;0;0;2;0;0;;;;1;1;;1009;1;;;1009
1010;;G;OTROS CONCEPTOS 10;OTROS CONCEPTOS 10;1;1;1;0;0;2;0;0;;;;1;1;;1010;1;;;1010
1011;;G;OTROS CONCEPTOS 11;OTROS CONCEPTOS 11;1;1;1;0;0;2;0;0;;;;1;1;;1011;1;;;1011
1012;;G;OTROS CONCEPTOS 12;OTROS CONCEPTOS 12;1;1;1;0;0;2;0;0;;;;1;1;;1012;1;;;1012
1013;;G;OTROS CONCEPTOS 13;OTROS CONCEPTOS 13;1;1;1;0;0;2;0;0;;;;1;1;;1013;1;;;1013
1014;;G;OTROS CONCEPTOS 14;OTROS CONCEPTOS 14;1;1;1;0;0;2;0;0;;;;1;1;;1014;1;;;1014
1015;;G;OTROS CONCEPTOS 15;OTROS CONCEPTOS 15;1;1;1;0;0;2;0;0;;;;1;1;;1015;1;;;1015
1016;;G;OTROS CONCEPTOS 16;OTROS CONCEPTOS 16;1;1;1;0;0;2;0;0;;;;1;1;;1016;1;;;1016
1017;;G;OTROS CONCEPTOS 17;OTROS CONCEPTOS 17;1;1;1;0;0;2;0;0;;;;1;1;;1017;1;;;1017
1018;;G;OTROS CONCEPTOS 18;OTROS CONCEPTOS 18;1;1;1;0;0;2;0;0;;;;1;1;;1018;1;;;1018
1019;;G;OTROS CONCEPTOS 19;OTROS CONCEPTOS 19;1;1;1;0;0;2;0;0;;;;1;1;;1019;1;;;1019
1020;;G;OTROS CONCEPTOS 20;OTROS CONCEPTOS 20;1;1;1;0;0;2;0;0;;;;1;1;;1020;1;;;1020
1021;;G;OTROS CONCEOTOS 21;OTROS CONCEOTOS 21;1;1;1;0;0;2;0;0;;;;1;1;;1021;1;;;1021
1022;;G;OTROS CONCEOTOS 22;OTROS CONCEOTOS 22;1;1;1;0;0;2;0;0;;;;1;1;;1022;1;;;1022
1023;;G;OTROS CONCEOTOS 23;OTROS CONCEOTOS 23;1;1;1;0;0;2;0;0;;;;1;1;;1023;1;;;1023
1024;;G;OTROS CONCEOTOS 24;OTROS CONCEOTOS 24;1;1;1;0;0;2;0;0;;;;1;1;;1024;1;;;1024
1025;;G;OTROS CONCEOTOS 25;OTROS CONCEOTOS 25;1;1;1;0;0;2;0;0;;;;1;1;;1025;1;;;1025
1026;;G;OTROS CONCEOTOS 26;OTROS CONCEOTOS 26;1;1;1;0;0;2;0;0;;;;1;1;;1026;1;;;1026
1027;;G;OTROS CONCEOTOS 27;OTROS CONCEOTOS 27;1;1;1;0;0;2;0;0;;;;1;1;;1027;1;;;1027
1028;;G;OTROS CONCEOTOS 28;OTROS CONCEOTOS 28;1;1;1;0;0;2;0;0;;;;1;1;;1028;1;;;1028
